Game,name,release,categories,genres,tags,playtime
583270,Cosmic Express,2017,Single-player;Steam Achievements;Steam Cloud,Indie,Indie;Puzzle;Trains,0
583470,The End Is Nigh,2017,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Adventure;Indie,Platformer;Indie;Difficult,73
583490,InfiniPicross,2017,Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud;Stats,Casual;Indie,Casual;Indie;Puzzle,591
583500,Galaxis Wars,2017,Single-player;Steam Cloud,Action;Indie;Simulation;Strategy,Action;Indie;Simulation,0
583530,Aquila Bird Flight Simulator,2017,Single-player;Full controller support,Casual;Simulation;Early Access,Early Access;Simulation;Casual,0
583570,1-2-Swift,2017,Single-player;Multi-player;Local Multi-Player;Local Co-op;Shared/Split Screen,Action;Adventure;Casual;Simulation,Casual;Action;Adventure,0
583590,Arms Race - TCWE,2017,Single-player;Steam Achievements,Strategy,Strategy;Cold War;Grand Strategy,0
583660,Dark Project,2017,Single-player;Steam Trading Cards,Adventure;Indie,Adventure;Indie;Violent,399
583740,AVATARIKA,2017,Multi-player;Online Multi-Player;In-App Purchases,Free to Play;Massively Multiplayer;Simulation,Free to Play;Massively Multiplayer;Simulation,0
583750,Sky Climbers,2017,Single-player,Action;Adventure;Casual;Indie;Early Access,Early Access;Casual;Action,0
583760,Slash It 2,2017,Single-player;Steam Achievements;Steam Trading Cards;Steam Leaderboards,Action;Casual;Indie,Indie;Casual;Action,792
583890,Balthazar's Dream,2017,Single-player;Partial Controller Support,Action;Adventure;Indie,Indie;Adventure;Pixel Graphics,0
583930,Faerie Solitaire Remastered,2017,Single-player;Full controller support,Casual,Casual;Card Game;Puzzle,388
583950,Artifact,2018,Single-player;Online Multi-Player;In-App Purchases;Steam Cloud,Strategy,Card Game;Trading Card Game;Strategy,1797
584040,Journey: Benjamin's Adventures,2017,Single-player,Casual;Indie,Indie;Casual;VR,0
584100,Mad Digger,2017,Single-player;Steam Achievements;Steam Trading Cards,Casual;Indie;Simulation,Simulation;Casual;Indie,0
584150,Casey Powell Lacrosse 18,2018,Single-player;Multi-player;Online Multi-Player;Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Cloud;Steam Leaderboards,Sports,Sports,0
584170,Freedom Locomotion VR,2017,Single-player,Casual;Free to Play;Indie,Free to Play;Indie;Casual,29
584220,RunningDead,2017,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support,Casual;Indie,Casual;Indie,0
584280,Airport Master,2017,Single-player,Simulation;Strategy;Early Access,Early Access;Strategy;Simulation,0
584370,The Trail: Frontier Challenge,2017,Single-player;Online Multi-Player;Steam Achievements;Steam Trading Cards,Adventure;Indie;Simulation,Adventure;Indie;Simulation,0
584400,Sonic Mania,2017,Single-player;Local Multi-Player;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Adventure;Casual,Great Soundtrack;2D;Platformer,44
584600,Virus Crashers,2017,Single-player;Online Multi-Player;Local Multi-Player;Online Co-op;Local Co-op;Shared/Split Screen;Partial Controller Support,Action;Casual;Indie,Action;Indie;Casual,0
584760,Rayless,2017,Single-player,Indie;RPG;Strategy,Strategy;RPG;Indie,0
584780,Operation swat,2017,Single-player,Violent;Action;Strategy,Action;Violent;Strategy,271
584800,Civil War: Battle of Petersburg,2017,Single-player;Shared/Split Screen;Steam Achievements;Steam Trading Cards;Steam Leaderboards,Strategy,Strategy;Wargame;America,315
